행정구역별,산업별,사업체구분별,2021,2021,2022,2022,2023,2023,2024,2024
행정구역별,산업별,사업체구분별,사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
,,"본사,본점 등",2898,159232,4092,173362,4004,177259,4124,187336
,,"공장,지사(점),영업소",12103,494459,13330,540532,12916,531581,13343,572053
,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,143372,421838,144915,444340,147479,455369,153429,467950
,,단독사업체,138077,334043,138758,346228,141164,355649,146395,359563
,,"본사,본점 등",1127,31598,1589,32352,1514,33331,1599,33084
,,"공장,지사(점),영업소",4168,56197,4568,65760,4801,66389,5435,75303
,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,478615,903839,488024,908611,513421,924999,549343,966402
,,단독사업체,461484,788745,462024,776227,490101,801462,525235,838160
,,"본사,본점 등",2541,35287,7661,41936,6618,39885,6583,40628
,,"공장,지사(점),영업소",14590,79807,18339,90448,16702,83652,17525,87614
서  울,전체 산업,계,1188091,5771226,1180025,5795417,1177287,5800617,1176066,5772456
,,단독사업체,1106963,3622479,1098395,3572309,1100214,3561242,1096661,3485641
,,"본사,본점 등",25688,1299758,26770,1311545,24494,1338188,24971,1386043
,,"공장,지사(점),영업소",55440,848989,54860,911563,52579,901187,54434,900772
,"농업, 임업 및 어업(01~03)",계,154,753,141,621,112,522,93,409
,,단독사업체,143,532,127,418,103,383,84,290
,,"본사,본점 등",7,183,7,161,7,136,5,115
,,"공장,지사(점),영업소",4,38,7,42,2,X,4,4
,광업(05~08),계,25,135,26,150,21,141,16,190
,,단독사업체,20,109,20,124,16,107,11,102
,,"본사,본점 등",3,20,4,20,5,34,4,49
,,"공장,지사(점),영업소",2,X,2,X,-,-,1,X
,제조업(10~34),계,76870,267489,75641,261088,67269,241919,62032,237097
,,단독사업체,74066,214498,72718,207079,64753,189428,59457,178930
,,"본사,본점 등",1568,39703,1596,37912,1436,37011,1475,41695
,,"공장,지사(점),영업소",1236,13288,1327,16097,1080,15480,1100,16472
,"전기, 가스, 증기 및 공기조절 공급업(35)",계,683,6873,653,6929,755,7368,867,6637
,,단독사업체,609,992,573,989,672,1069,775,1290
,,"본사,본점 등",19,2013,22,1921,22,1871,24,1881
,,"공장,지사(점),영업소",55,3868,58,4019,61,4428,68,3466
,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,720,10610,764,10750,741,10599,757,10638
,,단독사업체,636,8578,684,8756,682,8892,684,8486
,,"본사,본점 등",45,1275,40,1001,31,938,35,1111
,,"공장,지사(점),영업소",39,757,40,993,28,769,38,1041
,건설업(41~42),계,67382,449060,66868,453044,66079,408445,65232,388553
,,단독사업체,65229,281626,64888,267631,64291,254189,63433,239709
,,"본사,본점 등",1277,142499,1153,161979,1084,134563,1090,131176
,,"공장,지사(점),영업소",876,24935,827,23434,704,19693,709,17668
,도매 및 소매업(45~47),계,335817,1009123,324613,962626,332064,950356,331830,936536
,,단독사업체,313278,662524,303314,627128,311798,623337,311120,600187
,,"본사,본점 등",7224,205058,6795,192556,6453,192108,6559,195029
,,"공장,지사(점),영업소",15315,141541,14504,142942,13813,134911,14151,141320
