"세종특별자치시","1~14시간",8,10,8,12,10
"세종특별자치시","15~35시간",37,48,43,54,42
"세종특별자치시","36~52시간",116,112,132,123,135
"세종특별자치시","53시간이상",20,19,19,15,18
"경기도","계",7150,7597,7653,7732,7788
"경기도"," 1-17시간",504,533,514,592,615
"경기도"," 18-35시간",1174,1544,1165,1748,1236
"경기도"," 36-44시간",3214,3320,3722,3326,3712
"경기도"," 45-53시간",1420,1406,1411,1286,1419
"경기도","*36시간미만",1678,2077,1679,2339,1851
"경기도"," 54시간 이상",716,666,721,665,671
"경기도","*36시간 이상",5350,5392,5854,5277,5801
"경기도","일시휴직자",121,129,120,116,136
"경기도","주당평균취업시간 (시간)",39.1,38.4,39.1,37.9,38.4
"경기도","1~14시간",344,361,339,399,417
"경기도","15~35시간",1335,1716,1340,1940,1435
"경기도","36~52시간",4606,4699,5110,4584,5104
"경기도","53시간이상",744,693,744,693,697
"강원도","계",809,818,841,844,855
"강원도"," 1-17시간",87,95,107,107,112
"강원도"," 18-35시간",141,168,137,184,149
"강원도"," 36-44시간",328,322,356,338,360
"강원도"," 45-53시간",137,126,132,116,137
"강원도","*36시간미만",227,263,243,291,262
"강원도"," 54시간 이상",102,91,93,85,77
"강원도","*36시간 이상",566,539,582,539,574
"강원도","일시휴직자",15,16,16,14,19
"강원도","주당평균취업시간 (시간)",38.0,37.1,37.1,36.3,36.3
"강원도","1~14시간",65,74,83,80,82
"강원도","15~35시간",162,189,161,211,179
"강원도","36~52시간",462,446,488,453,495
"강원도","53시간이상",104,93,94,86,80
"충청북도","계",897,926,939,951,976
"충청북도"," 1-17시간",77,84,77,92,93
"충청북도"," 18-35시간",145,181,153,205,164
"충청북도"," 36-44시간",377,351,404,384,423
"충청북도"," 45-53시간",172,180,191,163,179
"충청북도","*36시간미만",221,265,230,297,258
"충청북도"," 54시간 이상",113,112,98,93,101
"충청북도","*36시간 이상",661,643,693,639,703
"충청북도","일시휴직자",15,19,16,15,15
"충청북도","주당평균취업시간 (시간)",39.2,38.3,38.7,37.5,38.2
"충청북도","1~14시간",54,60,56,67,67
"충청북도","15~35시간",168,204,174,229,190
"충청북도","36~52시간",546,529,592,544,598
"충청북도","53시간이상",115,114,101,95,105
"충청남도","계",1193,1226,1248,1264,1297
"충청남도"," 1-17시간",85,107,123,106,115
"충청남도"," 18-35시간",199,246,200,272,210
"충청남도"," 36-44시간",478,468,513,501,566
"충청남도"," 45-53시간",243,233,249,215,228
"충청남도","*36시간미만",284,354,324,378,325
"충청남도"," 54시간 이상",166,148,146,147,154
"충청남도","*36시간 이상",887,850,907,863,948
"충청남도","일시휴직자",22,22,17,23,24
"충청남도","주당평균취업시간 (시간)",39.8,38.5,38.7,38.2,38.7
"충청남도","1~14시간",58,75,89,73,75
"충청남도","15~35시간",226,278,235,305,250
"충청남도","36~52시간",718,697,756,713,789
"충청남도","53시간이상",169,153,152,150,159
"전라북도","계",953,968,983,988,979
"전라북도"," 1-17시간",93,108,112,117,116
"전라북도"," 18-35시간",173,203,173,216,157
"전라북도"," 36-44시간",383,365,418,394,435
"전라북도"," 45-53시간",186,185,171,158,157
"전라북도","*36시간미만",266,311,285,332,273
"전라북도"," 54시간 이상",110,94,99,90,95
"전라북도","*36시간 이상",678,645,689,643,687
"전라북도","일시휴직자",8,12,10,12,19
"전라북도","주당평균취업시간 (시간)",38.4,37.2,37.3,36.4,37.0
"전라북도","1~14시간",70,82,87,87,83
"전라북도","15~35시간",196,229,198,246,190
"전라북도","36~52시간",564,546,587,551,590
"전라북도","53시간이상",114,99,101,92,97
"전라남도","계",985,1010,1019,1004,997
"전라남도"," 1-17시간",73,84,98,107,118
"전라남도"," 18-35시간",170,212,196,237,191
"전라남도"," 36-44시간",448,409,410,386,391
"전라남도"," 45-53시간",177,182,187,163,178
"전라남도","*36시간미만",243,296,293,344,309
"전라남도"," 54시간 이상",105,108,114,99,102
"전라남도","*36시간 이상",729,700,711,649,672
"전라남도","일시휴직자",13,15,14,11,17
"전라남도","주당평균취업시간 (시간)",38.6,38.0,37.9,36.8,36.9
"전라남도","1~14시간",53,58,71,77,87
"전라남도","15~35시간",190,238,223,267,222
"전라남도","36~52시간",622,587,590,544,563
"전라남도","53시간이상",108,113,121,105,109
